calculation_date,kpi_name,period_id,agg_level_id,agg_level_value,mandant,cardprofile,value
2017-06-30,Umsatz Total,2,1,Overall,Overall,,72762971.4900
2017-07-31,Umsatz Total,2,1,Overall,Overall,,80076181.6000
2017-08-31,Umsatz Total,2,1,Overall,Overall,,74947863.3800
2017-09-30,Umsatz Total,2,1,Overall,Overall,,73882798.3600
2017-10-31,Umsatz Total,2,1,Overall,Overall,,77444880.8700
2017-11-30,Umsatz Total,2,1,Overall,Overall,,72665624.6300
2017-12-31,Umsatz Total,2,1,Overall,Overall,,77511962.5000
2018-01-31,Umsatz Total,2,1,Overall,Overall,,71032192.2200
2018-02-28,Umsatz Total,2,1,Overall,Overall,,64307742.2600
2018-03-31,Umsatz Total,2,1,Overall,Overall,,72231352.3400
2018-04-30,Umsatz Total,2,1,Overall,Overall,,73001956.0800
2018-05-31,Umsatz Total,2,1,Overall,Overall,,74644584.1600
2018-06-30,Umsatz Total,2,1,Overall,Overall,,70187840.2500
2018-07-31,Umsatz Total,2,1,Overall,Overall,,77992115.6100
2018-08-31,Umsatz Total,2,1,Overall,Overall,,72191589.7300
2018-09-30,Umsatz Total,2,1,Overall,Overall,,71250903.3100
2018-10-31,Umsatz Total,2,1,Overall,Overall,,76127711.8700
2018-11-30,Umsatz Total,2,1,Overall,Overall,,71124948.6700
2018-12-31,Umsatz Total,2,1,Overall,Overall,,74005043.6400
2019-01-31,Umsatz Total,2,1,Overall,Overall,,67921878.0000
2019-02-28,Umsatz Total,2,1,Overall,Overall,,63034226.7700
2019-03-31,Umsatz Total,2,1,Overall,Overall,,70469088.5400
2019-04-30,Umsatz Total,2,1,Overall,Overall,,71813140.8800
2019-05-31,Umsatz Total,2,1,Overall,Overall,,69520049.3700
2019-06-30,Umsatz Total,2,1,Overall,Overall,,70745333.6900
2019-07-31,Umsatz Total,2,1,Overall,Overall,,76354090.5500
2019-08-31,Umsatz Total,2,1,Overall,Overall,,70521935.5900
2019-09-30,Umsatz Total,2,1,Overall,Overall,,70346360.5000
2019-10-31,Umsatz Total,2,1,Overall,Overall,,73782668.6600
2019-11-30,Umsatz Total,2,1,Overall,Overall,,68755030.0800
2019-12-31,Umsatz Total,2,1,Overall,Overall,,75742848.6400
2020-01-31,Umsatz Total,2,1,Overall,Overall,,67646333.4200
2020-02-29,Umsatz Total,2,1,Overall,Overall,,63698579.4400
2020-03-31,Umsatz Total,2,1,Overall,Overall,,49236647.7800
2020-04-30,Umsatz Total,2,1,Overall,Overall,,41370856.3900
2020-05-31,Umsatz Total,2,1,Overall,Overall,,55194945.7700
2020-06-30,Umsatz Total,2,1,Overall,Overall,,59246235.3400
2017-06-30,Umsatz Total,2,2,CC,Overall,CC,69827240.2900
2017-07-31,Umsatz Total,2,2,CC,Overall,CC,76814504.9600
2017-08-31,Umsatz Total,2,2,CC,Overall,CC,71838506.0800
2017-09-30,Umsatz Total,2,2,CC,Overall,CC,70999947.1300
2017-10-31,Umsatz Total,2,2,CC,Overall,CC,74458554.6700
2017-11-30,Umsatz Total,2,2,CC,Overall,CC,69808613.4600
2017-12-31,Umsatz Total,2,2,CC,Overall,CC,74517921.6900
2018-01-31,Umsatz Total,2,2,CC,Overall,CC,68207800.1400
2018-02-28,Umsatz Total,2,2,CC,Overall,CC,61794336.4400
2018-03-31,Umsatz Total,2,2,CC,Overall,CC,69491143.3800
2018-04-30,Umsatz Total,2,2,CC,Overall,CC,70269945.6800
2018-05-31,Umsatz Total,2,2,CC,Overall,CC,71921185.0900
2018-06-30,Umsatz Total,2,2,CC,Overall,CC,67563540.3900
2018-07-31,Umsatz Total,2,2,CC,Overall,CC,75037766.9400
2018-08-31,Umsatz Total,2,2,CC,Overall,CC,69487077.2500
2018-09-30,Umsatz Total,2,2,CC,Overall,CC,68682706.7400
2018-10-31,Umsatz Total,2,2,CC,Overall,CC,73361822.4000
2018-11-30,Umsatz Total,2,2,CC,Overall,CC,68593869.2400
2018-12-31,Umsatz Total,2,2,CC,Overall,CC,71259120.5500
2019-01-31,Umsatz Total,2,2,CC,Overall,CC,65301862.4000
2019-02-28,Umsatz Total,2,2,CC,Overall,CC,60706867.7300
2019-03-31,Umsatz Total,2,2,CC,Overall,CC,67892425.6400
2019-04-30,Umsatz Total,2,2,CC,Overall,CC,69249314.8200
